"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/MixedRealityCaptureFramework/M_GarbageMatte.M_GarbageMatte","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","0","15","1","0.000000","0","0"
"/MixedRealityCaptureFramework/M_MrcVideoProcessing.M_MrcVideoProcessing","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","0","30","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","0","2","1","0.000000","0","0"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","0","15","1","0.000000","0","0"
"/OculusVR/Materials/touchController_mat.touchController_mat","21","0","30","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","21","0","2","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","21","0","45","3","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","0","2","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","0","44","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","0","104","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","21","0","195","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","21","0","75","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","0","240","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","0","33","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","0","2","1","0.000000","0","0"
