"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/MixedRealityCaptureFramework/M_GarbageMatte.M_GarbageMatte","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","15","3","1","42.738365","0","92"
"/MixedRealityCaptureFramework/M_MrcVideoProcessing.M_MrcVideoProcessing","21","2","2","1","4.708203","0","2"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","2","2","1","5.290481","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","2","2","1","5.095251","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","2","1","71.038132","0","253"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","5.270833","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","5.781320","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","3.904534","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","15","1","1","44.872581","0","90"
"/OculusVR/Materials/touchController_mat.touchController_mat","21","30","1","1","69.395767","0","331"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","4.694590","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","21","2","2","1","4.488921","0","2"
"/OpenXR/Devices/M_XRController.M_XRController","21","15","31","3","45.968307","0","88"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","4.377443","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","44","1","1","151.982773","0","564"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","104","1","1","388.005035","0","3306"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","21","195","5","1","235.273849","0","4551"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","21","75","1","1","167.459488","0","1739"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","240","1","1","568.402161","0","13011"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","2","2","1","4.475945","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","27","7","2","45.058247","0","100"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","4.167568","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","4.474188","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","1","1","75.870949","0","308"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","21","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","22","4","1","62.362923","0","151"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","2","2","1","4.321259","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","2","2","1","4.971227","0","2"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","6.181045","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","2","2","1","4.166929","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","2","2","1","6.867076","0","2"
"/MixedRealityCaptureFramework/M_GarbageMatte.M_GarbageMatte","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","24","15","4","1","44.631004","0","91"
"/MixedRealityCaptureFramework/M_MrcVideoProcessing.M_MrcVideoProcessing","24","2","2","1","5.114791","0","2"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","2","2","1","5.869693","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","5.609470","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","5","1","73.014885","0","119"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","6.344350","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","5.457704","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","4.898566","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","15","2","1","43.935112","0","51"
"/OculusVR/Materials/touchController_mat.touchController_mat","24","30","2","1","70.755890","0","146"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","4.983691","0","3"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","2","2","1","5.060507","0","2"
"/OpenXR/Devices/M_XRController.M_XRController","24","15","39","3","44.841057","0","40"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","2","2","1","5.119234","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","2","1","205.697113","0","275"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","4","1","488.920990","0","1312"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","195","10","1","276.457489","0","2452"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","75","6","1","172.741287","0","671"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","240","5","1","616.741028","0","5671"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","2","2","1","4.853361","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","27","8","2","57.008446","0","79"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","2","2","1","4.765758","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","5.569013","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","635","635","1","975.839539","0","635"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","8","1","76.586533","0","89"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","2","2","1","4.732805","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","2","2","1","6.043737","0","2"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","6.454830","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","5.877154","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","5.803901","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","30","1","0.000000","0","0"
